Name,Description
Standing Overhead Extension,"How to Perform this E-cise™

Stand with your feet pointing straight and hip width apart.
Interlace your fingers together and reach your arms overhead, pressing your hands to the ceiling with palms up.
Look up toward your hands and keep your arms straight, do not bend at the elbow.
Do not lean back.
Try to keep your arms directly overhead, not forward of your head.
Relax your stomach muscles.
Hold as directed on your menu.

Fun Facts

This exercise promotes lumbar and thoracic extension through bilateral hip demand."
Standing Gluteal Contractions,"How to Perform this E-cise™

Stand with your feet pointed straight and hip width apart.
Squeeze and release your buttocks muscles.
Do not contract your stomach muscles nor your thigh muscles; they should be relaxed.
If it seems too difficult, point your feet outward 45 degrees for the first set and then straighten your feet up for subsequent sets.
Repeat as directed on your menu.

Fun Facts

This exercise promotes proper weight distribution in a standing position."
Standing Forward Bend,"How to Perform this E-cise™

Stand with your feet pointing straight and hip width apart.
Place your palms on your low back/upper buttocks area.
Tilt your hips forward to place an exaggerated arch in your low back.
Pull your elbows and shoulder blades together and hold.
Now bend forward from the hips (NOT from your low back).
Keep the low back arched as you bend over.
Tighten your thighs and shift the weight into the balls of your feet.
Hold as directed on your menu.

Fun Facts

This exercise promotes bilateral pelvic extension through engagement of the spinal extensors while vertically loaded through the legs."
Squat,"How to Perform this E-cise™

Stand facing something about chest high that you can hang onto and will support your weight.
e.g. a door frame, a door-use the handles, a kitchen sink, a pole.
Your feet should be parallel and about 6 inches apart.
Hold onto the support with both hands at about hip level.
Keep your arms straight, do not bend at the elbow.
Place an arch into your lower back by rolling your hips forward.
Stick your butt out and bend your knees to squat down so that your hips/butt are at about knee level, while hands and shoulders are about level with one another.
Hold as directed on your menu.

Fun Facts

This exercise promotes anterior and lateral hip demand to support the spinal column (under load)."
Spread Foot Forward Bend,"How to Perform this E-cise™

Stand with your legs spread wide, feet pointing straight ahead.
Bend over forward and as you do, tilt your hips forward to help you bend.
Keep an arch in your low back throughout the e-cise.
Your hips should remain level; do not allow one to lift higher than the other.
Remember to keep your feet pointing straight ahead.
Position 1: this is the beginning forward position. Hold as directed.
Position 2: reach over to your left foot and hold.
Position 3: reach over to your right foot and hold.
Position 4: return to the beginning forward position and hold.

Fun Facts

This exercise stretches the adductors and hamstrings from a stabile pelvic position promoting proper lumbar function."
Sitting Scapular Contractions,"How to Perform this E-cise™

Sit in the middle of a chair with your feet pointed straight ahead, 4-6 inches apart.
Roll your hips forward to place an arch in your low back and hold throughout the e-cise.
Squeeze and release your shoulder blades together.
Back and down, NOT up and down.
Repeat as directed on your menu.

Fun Facts

This exercise promotes proper scapular position and thoracic extension."
Sitting Abductor Presses,"How to Perform this E-cise™

Sit in the middle of a chair with your feet pointed straight ahead, 4-6 inches apart.
Place a strap around your knees.
Roll your pelvis forward to place a small arch in your low back and hold this position throughout the e-cise.
Press outward against the strap then release.
Repeat as directed on your menu.

Fun Facts

This exercise promotes bilateral pelvic extension and encourages pelvic stability."
Sitting in Extension,"How to Perform this E-cise™

Sit in the middle of a chair with your feet pointed straight ahead, 4-6 inches apart.
Let your arms hang down at your sides.
Roll your hips forward to place an arch in your low back.
Hold as directed on your menu.

Fun Facts

This exercise transfers the work from the lumbar spine to the pelvis."
Assisted Runners Stretch,"How to Perform this E-cise™

Kneel down in front of a chair or table you can use to stabilize and support yourself.
Place the back of your left heel to the front of the right knee.
Be sure that you are up on the toes of your right foot, with bottom of the foot pointing behind you.
Keep the left foot, right knee and right foot in line with each other
Keeping your hands on the chair stand up and begin bending over while rolling your hips back to place an arch into your lower back.
The heel of your right foot should now be on the ground.
Tighten your thighs (quads) while relaxing your upper body.
Keep your weight on the inside of each foot and keep your lower back arched.
Hold as directed on your menu.
Switch sides and repeat.

Fun Facts

This exercise is designed to isolate the hamstrings under bilateral pelvic demand."
Hooklying Rocking Chair w/ Strap,"How to Perform this E-cise™

Lie on your back with your knees bent and your feet flat on the floor pointed straight ahead.
Your arms should be out to the sides at a 45 degree angle, palms up.
Place a strap around your knees so knees are hip width apart, keep constant pressure outward against the strap throughout the e-cise.
Keep your upper body relaxed.
Roll both feet forward onto the ball of each foot (raising the heels off the ground), then roll both feet back onto the heel of each foot (raising the toes off the ground).
Repeat as directed on your menu.

Fun Facts

TThis exercises promotes bilateral pelvic stabilization in flexion and extension."
Hooklying Reverse Presses,"How to Perform this E-cise™

Lie on your back with your knees bent and your feet flat on the floor pointed straight ahead.
Place your elbows straight out from your shoulders with your hands up toward the ceiling.
There should be a 90 degree bend in your elbows, and your hands should be in relaxed fists.
Squeeze/slide your shoulder blades together and downward, then release.
Repeat as directed on your menu.

Fun Facts

This e-cise promotes scapular retraction."
Static Back Reverse Presses,"How to Perform this E-cise™

Lie on your back with your legs up over a block or chair.
Relax your legs, back and stomach.
Place your arms in a bent position directly out from your shoulders.
Bend 90 degrees at the elbows, hands are in a fist pointed up toward the ceiling.
Now squeeze your shoulder blades down and together and then release.
Try to relax your stomach muscles and do NOT try just to push your elbows into the floor - focus on the squeezing and releasing of your shoulder blade muscles.
Repeat as directed on your menu.

Fun Facts

This exercise promotes shoulder girdle stability for thoracic extension. This Static Back position creates horizontal load between shoulder and pelvis, which contributes to thoracic extension by engaging the stabilizers and flexors of the hip. This position helps prevent compensation from occurring while performing other types of muscular work."
Quad Rotations - Blocked,"How to Perform this E-cise™

Sit on the floor with your hips, upper back, and your head against a wall and both legs extended straight out in front of you
Roll your hips forward to place an arch in your lower back
If your menu calls for it, place a towel behind your lower back
Place one of your feet on a block about 4-6 inches high
Keep the leg on the floor relaxed while you tighten the thigh on the elevated leg and pull your toes back
Rotate your elevated leg in and out, initiating the motion from the hip
Repeat as directed on your menu
Switch sides and repeat

Fun Facts

This exercise promotes internal and external rotation of the hip while under pelvic load and in extreme hip flexion"
Quad Lifts,"How to Perform this E-cise™

Sit on the floor with your back against a wall
Roll your hips forward to place an arch in your lower back
If your menu calls for it, place a towel behind your lower back
Tighten your thigh and pull your toes back on one leg
Try to lift that leg up off the floor 1 to 3 inches using the muscles in the front of your hips
Hold the lift for 5 seconds, if possible, then lower your leg
Repeat as directed on your menu
Switch legs and repeat

Fun Facts

This exercise promotes flexion of the hip joint under pelvic load"
Standing Quad Contractions,"How to Perform this E-cise™

Stand with your feet pointing straight and hip width apart.
Your upper body should remain relaxed.
Tighten and release your thigh muscles.
Use only your thigh muscles.
Remember to keep your upper body relaxed and feet pointed straight ahead throughout the e-cise.
Continue as directed on your menu.

Fun Facts

This exercise promotes proper function between the ankle, knee, and hip."
QLO Stretch,"How to Perform this E-cise™

Sit on the floor with your legs straight and spread apart.
Sit up straight over your hips and not rolling backward.
Tighten your thighs and flex your feet with your knees pointing straight up.
Bend your left elbow and place it along the inside of your left leg near your knee with the palm facing up.
Slide your hand under the left calf.
Extend your right arm over your right ear, bending sideways over your left leg.
This will twist your upper torso slightly so your shoulders are in alignment with your leg.
Try to touch your toes with your right arm.
Hold as directed on your menu and breathe.
Switch sides and repeat.

Fun Facts

This exercise promotes lateral and rotational motion of the spine from a stabile pelvic position."
Hooklying Pull-Overs,"How to Perform this E-cise™

Lie on your back with your knees bent and your feet flat on the floor pointed straight ahead.
Interlace your hands tightly together above your chest.
Keep elbows straight throughout the e-cise.
Keep your shoulders on the floor.
Keeping both arms straight lower your arms to the floor above your head and then back up to starting position.
Do not force your arms to the floor, go only as far behind your head as you are able.
Repeat as directed on your menu.

Fun Facts

This e-cise promotes extension of the thoracic spine and scapular rotation."
Static Back Pull-Overs,"How to Perform this E-cise™

Lie on your back with your legs up over a large block or chair, knees bent at 90 degrees.
Relax your legs, lower back and stomach.
Reach arms straight up above your chest, elbows locked and hands clasped together.
Now lower your hands down to the floor above your head.
Do not contract your abdominal muscles, keep the stomach and lower back relaxed.
Do not let your arms bend at the elbow, keep them straight throughout the e-cise.
If you are unable to lower your hands all the way to the floor behind you, go only as low as you are able while maintaining the straight arm position.
Return to the starting position and repeat as directed on your menu.

Fun Facts

This exercise engages spinal extensors. This Static Back position creates horizontal load between shoulder and pelvis, which contributes to thoracic extension by engaging the stabilizers and flexors of the hip. This position helps prevent compensation from occurring while performing other types of muscular work."
Static Wall Pull-overs,"How to Perform this E-cise™

Lie on your back with your legs pointed straight up and against the wall, upper body relaxed with arms out to sides at about 45 degrees and palms facing up.
When getting into this position, get your hips as close as possible to the wall, so once you are in position your butt is also as close as possible to the wall.
If your hips are lifting off the floor then scoot your butt back until you are able to place your hips flat. As you get more functional, your hips will sit closer to the wall and be flat on the floor at the same time.
In this position tighten your thighs and pull your toes down and back toward you.
Your feet must be pointed straight for your hips to properly do the needed work to stabilize your spine.
Reach arms straight up above your chest, elbows locked and hands clasped together.
Now lower your hands down to the floor above your head.
Do not contract your abdominal muscles, keep the stomach and lower back relaxed.
Do not let your arms bend at the elbow, keep them straight throughout the e-cise.
If you are unable to lower your hands all the way to the floor behind you, go only as low as you are able while maintaining the straight arm position.
Return to the starting position and repeat as directed on your menu.

Fun Facts

This exercise promotes bilateral hip and lumbar flexion to re-establish the muscular chain between the trunk and pelvis with an emphasis on scapular function."
Frog Pull-Overs Presses,"How to Perform this E-cise™

Lie on your back with a pillow/block above your head.
If directed to do so by your menu, place a towel under your lower back.
Place the soles of your feet together.
Center your feet along the mid-line of your body and let your knees relax down to the sides.
Interlace your fingers and extend your arms straight overhead to rest on the pillow/block above your head.
KEEP HANDS ON PILLOW THE ENTIRE TIME  with your elbows locked out straight throughout the e-cise.
Press your hands down into the pillow and release.
Repeat as directed on your menu.

Fun Facts

This exercise promotes upper thoracic extension while in lumbar extension."
Hooklying Pull-over Presses,"How to Perform this E-cise™

Lie on your back with your knees bent and your feet flat on the floor pointed straight ahead.
Place a towel under your lower back if instructed to do so on your menu.
Interlace your hands above your chest, then lower them onto a 6 inch pillow above your head.
Keep your elbows straight.
Press your hands into the pillow and then release.
Repeat as directed on your menu.

Fun Facts

This e-cise promotes extension of the thoracic spine."
Static Back Pull-over Presses,"How to Perform this E-cise™

Lie on your back with your legs up over a large block or chair, knees bent at 90 degrees.
There should be a small pillow or block placed directly above your head at arms length.
Relax your legs, lower back and stomach.
Reach arms straight up above your chest, elbows locked and hands clasped together.
Now lower your hands down to the block above your head.
Press into the block, hold for the indicated time and then release.
Do not contract your abdominal muscles, keep the stomach and lower back relaxed.
Do not let your arms bend at the elbow, keep them straight throughout the e-cise.
Repeat as directed on your menu.

Fun Facts

This exercise engages spinal extensors. This Static Back position creates horizontal load between shoulder and pelvis, which contributes to thoracic extension by engaging the stabilizers and flexors of the hip. This position helps prevent compensation from occurring while performing other types of muscular work."
Prone Hamstring Curls w/ Strap,"How to Perform this E-cise™

Lie face down on the floor resting your forehead on your hands.
Your elbows should be out to the side.
Place a strap around your ankles and keep constant pressure outward against the strap.
Bend your knees to bring your feet up to your hips and then return them to the floor.
Use your hamstring muscles to create the movement.
Tuck your pelvis under (in to the floor) throughout the entire motion.
Repeat as directed on your menu.

Fun Facts

This exercise promotes forward/backward pelvic movement via the hamstrings and quads."
Prone ABDuction,"How to Perform this E-cise™

Lie face down on the floor resting your forehead on your hands.
Your elbows should be out to the sides.
Place a strap around your ankles, so they are hip width apart.
Bring your feet up off the floor by bending your knees to 90 degrees.
Keeping your knees and feet hip width apart, push out on strap, then release.
Repeat as directed on your menu.

Fun Facts

This exercise works the lateral hip stabilizers."
MFB - Prone Abduction,"How to Perform this E-cise™

Lie on your stomach in the Modified Floor Block position
Your feet should be pigeon-toed and your buttocks relaxed
Elevate your bent arms 4 to 9 inches by placing your forearms and elbows on blocks
Place a strap around your ankles
Bend both knees to about 90 degrees and flex your toes down toward the floor
Pull your ankles/feet outward against the strap and then release
Repeat as directed on your menu

Fun Facts

This exercise promotes proper function of the muscles of the lateral hip that produce rotation of the femur."
MFB - Prone Hamstring Curls w/ Pillow,"How to Perform this E-cise™

Lie on your stomach in the Modified Floor Block position
Your feet should be pigeon-toed and your buttocks relaxed
Elevate your bent arms 4 to 9 inches by placing your forearms and elbows on blocks
Place a pillow between your ankles/feet, and keep constant light pressure on the pillow
Bend your knees to bring your feet up to your hips and then return them back to the floor
Use your hamstring/back thigh muscles to create the movement
Repeat as directed on your menu

Fun Facts

This exercise promotes pelvic extension through the work of the hamstrings."
MFB - Prone Ankle Squeezes,"How to Perform this E-cise™

Lie on your stomach in the Modified Floor Block position
Your feet should be pigeon-toed and your buttocks relaxed
Elevate your bent arms 4 to 9 inches by placing your forearms and elbows on blocks
Place a pillow between your ankles/feet
Bend both knees to about 90 degrees and flex your toes down toward the floor
Press and release your ankles/feet into the pillow
Repeat as directed on your menu

Fun Facts

This exercise promotes proper function of the muscles of the lateral hip that produce rotation of the femur"
MFB - Active Wishbone,"How to Perform this E-cise™

Lie on your stomach in the Modified Floor Block position.
Your feet should be pigeon-toed and your buttocks relaxed.
Elevate your bent arms 4 to 9 inches by placing your forearms and elbows on blocks with your elbows bent at a 90-degree angle.
Bend both knees to a 90 degrees angle and flex your toes down toward the floor.
Holding that position with your inner thighs touching, allow your ankle to drop away from each other in a slow controlled manner.
Once they have reached the end of their range of motion bring your ankles back towards each other until they touch.
Repeat as directed on your menu.

Fun Facts

This exercise promotes proper function of the muscles of the lateral hip that produce rotation of the femur."
Kneeling Wall Clock,"How to Perform this E-cise™

Kneel down facing a wall with your knees all the way up to the wall.
Your feet should be pigeon-toed (toes pointed inward) with the tops of your feet on the ground.
Your forehead and nose should also be touching the wall.
Position 1: Raise your arms directly overhead and keep shoulders relaxed.
Relax your stomach to allow your pelvis to tilt forward.
Make a golfers grip with your hands (fingers curled toward the palm, thumbs out).
Rotate your thumbs/arms outward from the shoulder (moving the back of your hand toward the wall).
Hold for 1 minute (or as directed on your menu).
Position 2: Move your hands down to 45 degrees.
Repeat the outward rotation with your arms from the shoulders.
Hold for 1 minute (or as directed on your menu).
Position 3: Move your arms down to 90 degrees (straight out from your shoulders, parallel to floor).
Repeat the outward rotation with your arms from the shoulders.
Hold for 1 minute (or as directed on your menu).
Repeat the entire sequence as directed on your menu.
Repeat for 1 minute in each of the 3 positions.

Fun Facts

Promotes thoracic extension with pelvic stabilization."
Kneeling Groin Stretch,"How to Perform this E-cise™

From a kneeling position, place one foot out in front of you with your knee bent
Interlace your hands and place them on your front knee
Lunge forward
Keep the knee of the forward leg directly above your ankle
Push into your hands to move your chest away from your knee
Your front leg should be supporting you as you are lunging forward
You should feel the stretch on the opposite/back leg
Hold as directed on your menu
Switch sides and repeat

Fun Facts

Promotes unilateral flexion and extension of the hip"
Kneeling Counter Stretch,"How to Perform this E-cise™

Kneel down and place your hands on a chair or block in front of you
Back your knees away from the chair, allowing your upper body to drop through your arms
Before you drop your head between your arms, your hips should be ahead of your knees
Allow your spine to slowly lower into an arched position
You should feel tightness between your shoulder blades
If this puts too much pressure on your shoulder joints, rest your forearms instead of your hands on the chair
Hold as directed on your menu

Fun Facts

Promotes thoracic extension under a pelvic load"
Kneeling Aztec,"How to Perform this E-cise™

Kneel down facing a wall with your knees and body 6 to 8 inches away from the wall.
Place your hands on the wall at chest level, just outside of your shoulders.
Relax your shoulders down.
Pull your toes under to grip the floor.
Push your feet into the floor, as if to push your body toward the wall.
Resist the push into the wall using your arms/hands.
Allow your shoulder blades to absorb the shock of the push.
Press into the wall with your feet and release.
Repeat as directed on your menu.

Fun Facts

Promotes bilateral lumbar stabilization in a vertically loaded position of the knee, hip and shoulder."
Kneeling Ankle Squeezes,"How to Perform this E-cise™

Kneel down with a pillow between your ankles/feet.
If needed, place your hands on a chair or block for balance.
Squeeze and release the pillow between your ankles/feet.
Keep your stomach muscles relaxed throughout the e-cise.
You should feel the contraction in your buttocks area; if you do not, widen your knees.
Do not contract only your buttocks; focus on your ankles.
Repeat as directed on your menu.

Fun Facts

Promotes hip stability through bilateral engagement of the external rotators of the hip."
Kneeling Abduction,"How to Perform this E-cise™

Kneel down with a strap around your ankles
If needed, place your hands on a chair or block for balance
Pull your ankles outward against the strap and then release
Keep your stomach muscles relaxed throughout the e-cise
You should feel your hips stabilizing as you do this
Repeat as directed on your menu

Fun Facts

Promotes lateral hip stability through internal rotation in a vertically loaded position of the knee, hip and shoulder"
Sitting Knee Pillow Squeezes,"How to Perform this E-cise™

Sit in a chair with a pillow between your knees and your pelvis rolled forward to place an arch in your lower back.
Keep your feet pointed straight ahead and your upper body relaxed.
Squeeze and release the pillow between your knees and remember to keep the arch in your low back. Remember to keep your feet pointed straight ahead.

Fun Facts

This exercise promotes bilateral pelvic extension and encourages pelvic stability."
I.T. Band Stretch,"How to Perform this E-cise™

Lie on your back, with your legs flat and your arms straight out from your shoulders, palms down.
Tighten your thighs and flex your feet so your toes are pointing up toward the ceiling.
Keeping your legs straight, flex one leg at the hip to 90 degrees and rotate that leg to floor crossing over the opposite hip.
Allow your hips to twist.
Keep your shoulders on the floor.
Move your head to the side so you are looking in the opposite direction as your leg is twisting.
Hold as directed on your menu then switch legs and repeat.

Fun Facts

This exercise rotates the spine while stabilizing hip flexion and extension."
Hip Lift,"How to Perform this E-cise™

Lie on your back with your feet on the floor.
Cross one ankle/foot over to the opposite knee, just above the knee.
Lift the foot that is still on the floor up until your calf is parallel to the ground and the knee is bent at a 90 degree angle.
Relax your shoulders and put your arms out to the sides, palms up.
As you pull the knee with your ankle on it toward you, press the other knee away from you.
Hold this position as directed on your menu, then switch sides and repeat.

Fun Facts

Promotes unilateral hip stabilization."
Hip Flexor Abdominals,"How to Perform this E-cise™

Lie on your back with your knees bent and your feet pointed straight ahead.
Interlace your hands together behind your head with your elbows back.
Using your abdominal(stomach) muscles and your front hip muscles, begin to lift and lower your feet and your chest/shoulders/head up off the floor about 3 inches.
REPEAT this motion, keeping your elbows back. Look back.

Fun Facts

This exercise takes the hip through the full range of flexion and works the trunk flexors."
